parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
a2,0.1,0.6,0.6,3,0.9
a3,0.5,0.6,0.3,3,0.9
a80,0.272,0.6,0.3,3,0.9
aR,0.288,0.6,0.3,3,0.9
ag1,51.77,0.6,0.3,3,0.9
ag2,13.18,0.6,0.6,3,0.9
ag3,2.045,0.6,0.3,3,0.9
ag80,0.735,0.6,0.3,3,0.9
aHXT,11,0.6,0.6,3,0.9
kf83,41100,0.6,0.3,3,0.9
kf84,952,0.6,0.3,3,0.9
KG2,40.8,0.6,0.6,3,0.9
KG3,23.6,0.6,0.6,3,0.9
KR1,38.7,1,0.6,3,0.9
KRs,50,1,0.7,3,0.9
rcat,1,0.6,0.3,3,0.9
rG2,1,0.6,0.3,1,0.9
rHXT,200,0.5,0.3,3,0.9
KGglu,2.00E+06,1,0.7,3,0.9
KHXTglu,7.50E+06,0.6,0.3,3,0.9
n1,3,0.1,0.1,0.5,0.9
nR1,1,0.5,0.3,0.5,0.9
nHXT,2,0.5,0.3,0.5,0.9
