parameter_name,prior_mean,prior_sigma,proposal_sigma_1,proposal_sigma_2,gaussian_mix_fraction
a1,0.001,0.6,0.3,3,0.9
a3,0.5,0.6,0.3,3,0.9
a4,0.058,0.6,0.3,3,0.9
a80,0.272,0.6,0.3,3,0.9
aR,0.288,0.6,0.3,3,0.9
a0HXT,0.1,0.6,0.6,3,0.9
ag1,51.77,0.6,0.3,3,0.9
ag2,24.36,0.6,0.3,3,0.9
ag3,2.045,0.6,0.3,3,0.9
ag4,0.011,0.6,0.3,3,0.9
ag80,0.735,0.6,0.3,3,0.9
aHXT,20,0.6,0.6,3,0.9
d,0.0077,0.1,0.3,0.5,0.9
kf3,70.3,0.6,0.3,3,0.9
kf83,41100,0.6,0.3,3,0.9
kf84,952,0.6,0.3,3,0.9
KG1,41.6,0.6,0.3,3,0.9
KG2,66.6,0.6,0.3,3,0.9
KG3,32.2,0.6,0.3,3,0.9
KG80,14,0.6,0.3,3,0.9
KR1,67.4,1,0.3,3,0.9
KR3,18.8,1,0.3,3,0.9
KR4,33.8,1,0.3,3,0.9
KRs,10,1,0.7,3,0.9
KHXT,9,0.6,0.3,3,0.9
kG2,1,1,0.7,3,0.9
rcat,1,0.6,0.3,3,0.9
rG2,1,0.6,0.3,1,0.9
rHXT,200,0.5,0.3,3,0.9
KGglu,2.00E+06,1,0.7,3,0.9
KHXTglu,7.50E+06,0.6,0.3,3,0.9
n1,3,0.1,0.1,0.5,0.9
n2,2,0.1,0.1,0.5,0.9
n3,2,0.1,0.1,0.5,0.9
n80,2,0.1,0.1,0.5,0.9
nR1,1,0.5,0.3,0.5,0.9
nRs,2,0.1,0.3,0.5,0.9
nHXT,1,0.5,0.3,0.5,0.9
